ID,TYPE,Publication,Latitude,Longitude,Species_numbers,Rows,Columns,Publicaiton_Year
Garcia_2014_Zealandia,Seed Dispersal,Garcia et al. (2014),-41.2944444,174.746111,19,12,7,2014
Garcia_2016,Seed Dispersal,One network per publication,43.25,-5.97,24,7,17,2016
Garcia_Estrada_2012,Seed Dispersal,One network per publication,15.16666,-92.333,44,38,6,2012
Garcia_et_al_2000,Seed Dispersal,One network per publication,-19.66667,-42.91667,20,14,6,2000
Garcia_Morales_2012,Seed Dispersal,One network per publication,22.11,-99.24,22,15,7,2012
Genrich_2017,Seed Dispersal,One network per publication,-20,-43.93,36,29,7,2017
Gomes_2013,Seed Dispersal,One network per publication,-22.575,-43.692,29,22,7,2013
Gorchov_1995,Seed Dispersal,One network per publication,-4.916667,-74.75,100,82,18,1995
Hayashi_1996,Seed Dispersal,One network per publication,-22.849,-48.406,20,13,7,1996
Hernandez_Montero_2015_B4_Dry,Seed Dispersal,Hernandez-Montero et al. (2015),19.530091,-96.973896,11,6,5,2015
Hernandez_Montero_2015_B4_Norte,Seed Dispersal,Hernandez-Montero et al. (2015),19.530091,-96.973896,12,6,6,2015
Hovestadt_1997,Seed Dispersal,One network per publication,8.722,-3.8,91,28,63,1997
Jaroszewicz_2013,Seed Dispersal,One network per publication,52.84167,23.825,197,192,5,2013
Jayasekara_2003,Seed Dispersal,One network per publication,6.4,80.548,19,9,10,2003
Jayasekara_2007,Seed Dispersal,One network per publication,6.4,80.548,36,15,21,2007
Kamruzzaman_2008,Seed Dispersal,One network per publication,22.47226,91.78878,46,27,19,2008
Kessler_Rios_2012,Seed Dispersal,One network per publication,4.71666667,-75.5666,45,13,32,2012
Koike_2008,Seed Dispersal,One network per publication,35.84,139.059,21,16,5,2008
Labbe_2011,Seed Dispersal,One network per publication,42.4,-73,19,7,12,2011
Lessa_2010,Seed Dispersal,One network per publication,-18.15,-43.38333,19,14,5,2010
Lessa_2013,Seed Dispersal,One network per publication,-18.15,-43.38333,30,23,7,2013
Lima_2016,Seed Dispersal,One network per publication,-19.145,-40.052,36,23,13,2016
Lopez_and_Vaughn_2004,Seed Dispersal,One network per publication,10.43333,-83.98333,49,35,14,2004
Lou_2005,Seed Dispersal,One network per publication,17.06944,-89.4,40,29,11,2005
Lou_2007,Seed Dispersal,One network per publication,15.78653,-88.84256,26,19,7,2007
M_PL_004,Pollination,One network per publication,46.553731,-66.071245,112,11,101,1987
M_PL_006,Pollination,Dicks et al. (2002),52.762395,1.575532,78,17,61,2002
M_PL_007,Pollination,Dicks et al. (2002),52.413173,1.097873,50,15,35,2002
M_PL_013,Pollination,One network per publication,-29.616667,30.133333,65,9,56,2003
