"species","networks"
"Chrysobalanus icaco","M_PL_061_23; M_PL_061_30; M_PL_061_31; M_PL_061_35; M_PL_061_37; M_PL_061_38; M_PL_061_39; M_PL_061_40; M_PL_061_43; M_PL_061_44; M_PL_061_46; M_PL_061_47; M_PL_061_48"
"Cimicifuga simplex","M_PL_056"
"Cinnamomum camphora","M_PL_054"
"Cinnamomum doederleinii","M_PL_044"
"Cinnamomum verum","M_PL_061_03; M_PL_061_09; M_PL_061_11; M_PL_061_17; M_PL_061_19; M_PL_061_25; M_PL_061_26; M_PL_061_27; M_PL_061_35; M_PL_061_39; M_PL_061_43"
"Cipocereus minensis","M_PL_074_09; M_PL_074_17"
"Cirsium arvense","M_PL_006; M_PL_007"
"Cirsium brevicaule","M_PL_044"
"Cirsium effusum","M_PL_056"
"Cirsium japonicum","M_PL_055"
"Cirsium microspicatum","M_PL_057"
"Cirsium nipponica","M_PL_054"
"Cirsium palustre","M_PL_007"
"Cirsium sieboldii","M_PL_055"
"Cissus simsiana","M_PL_067"
"Cissus verticillata","M_PL_067"
"Cistus albidus","M_PL_058"
"Cistus monspeliensis","M_PL_058"
"Cistus salvifolius","M_PL_058"
"Citharexylum myrianthum","M_PL_074_10"
"Citrus tachibana","M_PL_054"
"Cladrastis sikokiana","M_PL_054"
"Claoxylon linostachys","M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_16"
"Clathrotropis brachypetala","M_PL_074_04"
"Claytonia virginica","M_PL_025"
"Clematis apiifolia","M_PL_057"
"Clematis grata","M_PL_044"
"Clematis terniflora","M_PL_044"
"Clematis vitalba","M_PL_017"
"Clerodendrum trichotomum","M_PL_044; M_PL_054"
"Clethra barbinervis","M_PL_057"
"Clethra mexicana","M_PL_074_14"
"Clinopodium chinense grandiflorum","M_PL_056"
"Clintonia borealis","M_PL_004"
"Cnidoscolus halteris","M_PL_067"
"Cnidoscolus obtusifolius","M_PL_067"
"Codonopsis lanceolata","M_PL_057"
"Coffea macrocarpa","M_PL_060_05; M_PL_060_06; M_PL_060_18"
"Coffea mauritiana","M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_18"
"Colea seychellarum","M_PL_061_16"
"Columnea ciliata","M_PL_074_01; M_PL_074_02; M_PL_074_05"
"Columnea dimidiata","M_PL_074_03; M_PL_074_16"
"Columnea ericae","M_PL_071"
"Columnea mastersonii","M_PL_074_02; M_PL_074_05"
"Columnea medicinalis","M_PL_074_01; M_PL_074_02"
"Columnea picta","M_PL_074_02; M_PL_074_05"
"Columnea strigosa","M_PL_074_01; M_PL_074_02; M_PL_074_03; M_PL_074_05"
"Combretum farinosum","M_PL_065"
"Combretum llewelynii","M_PL_074_06"
"Commelina communis","M_PL_055"
"Commelina erecta","M_PL_073"
"Conium maculatum","M_PL_073"
"Conocliniopsis prasiifolia","M_PL_067"
"Convolvulus althaeoides","M_PL_058"
"Convolvulus arvensis","M_PL_017"
"Cordemoya integrifolia","M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_11; M_PL_060_17; M_PL_060_22; M_PL_060_23"
"Cordia bicolor","M_PL_074_04"
"Cordia curassavica","M_PL_074_04"
"Cordia multispicata","M_PL_074_08"
"Cordia seleriana","M_PL_065"
"Coreopsis basalis","M_PL_054"
"Cornus canadensis","M_PL_004"
"Corydalis incisa","M_PL_057"
"Corydalis pallida","M_PL_057"
"Corymborkis flava","M_PL_064"
"Costus scaber","M_PL_071; M_PL_074_06"
"Costus spiralis","M_PL_074_04; M_PL_074_06; M_PL_074_07; M_PL_074_08; M_PL_074_10"
"Couepia schottii","M_PL_074_08"
"Craterispermum microdon","M_PL_061_17; M_PL_061_18; M_PL_061_20; M_PL_061_21; M_PL_061_24"
"Crepidiastrum lanceolatum","M_PL_044"
"Crepis capillaris","M_PL_017"
"Croomia japonica","M_PL_044"
"Croton blanchetianus","M_PL_067"
"Croton fothergillifolius","M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_13; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_22"
"Croton grangeroides","M_PL_060_22; M_PL_060_23; M_PL_060_24"
"Cryptotaenia japonica","M_PL_057"
"Cuphea diosmifolia","M_PL_074_09"
"Cuphea disperma","M_PL_074_09"
"Cuphea ericoides","M_PL_074_09; M_PL_074_17"
"Cuphea melvilla","M_PL_074_06; M_PL_074_11"
"Cuphea nitidula","M_PL_074_14"
"Cuspidaria inaequalis","M_PL_074_04"
"Cynanchum ascyrifolium","M_PL_056"
"Cynanchum diemii","M_PL_051"
"Cypripedium acaule","M_PL_004"
"Cypripedium guttatum","M_PL_056"
"Dahlstedtia pinnata","M_PL_074_07; M_PL_074_10; M_PL_074_13; M_PL_074_18"
"Daucus carota","M_PL_017; M_PL_058"
"Decagonocarpus cornutus","M_PL_071"
"Deckenia nobilis","M_PL_061_05; M_PL_061_06; M_PL_061_07; M_PL_061_29; M_PL_061_30; M_PL_061_31"
"Declieuxia fruticosa","M_PL_074_09"
"Dendropanax trifidus","M_PL_044"
"Desfontainia spinosa","M_PL_068; M_PL_074_12"
"Desmodium podocarpum","M_PL_057"
"Deutzia crenata","M_PL_054; M_PL_057"
"Deutzia gracilis","M_PL_054"
"Deutzia maximowicziana","M_PL_054; M_PL_057"
"Deutzia naseana","M_PL_044"
"Deutzia scabra","M_PL_054"
"Dianthus caryophillus","M_PL_058"
"Dianthus superbus longicalycinus","M_PL_056"
"Dicella bracteosa","M_PL_059"
"Digitalis purpurea","M_PL_051"
"Digitaria ciliaris","M_PL_057"
"Dillenia ferruginea","M_PL_061_06; M_PL_061_09; M_PL_061_10; M_PL_061_12; M_PL_061_13; M_PL_061_15; M_PL_061_17; M_PL_061_18; M_PL_061_19; M_PL_061_21; M_PL_061_22; M_PL_061_23; M_PL_061_24; M_PL_061_36; M_PL_061_37; M_PL_061_38; M_PL_061_39; M_PL_061_40; M_PL_061_45; M_PL_061_46; M_PL_061_48"
"Dillenia suffruticosa","M_PL_061_44; M_PL_061_45; M_PL_061_46"
"Dioclea grandiflora","M_PL_067"
"Diospyros revaughanii","M_PL_060_08; M_PL_060_09; M_PL_060_10; M_PL_060_11; M_PL_060_12; M_PL_060_24"
"Diospyros seychellarum","M_PL_061_05; M_PL_061_06; M_PL_061_24"
"Diospyrus japonica","M_PL_044"
"Diplopterys pubipetala","M_PL_059"
"Dipsacus japonicus","M_PL_057"
"Disterigma codonanthum","M_PL_068"
"Dodonaea viscosa","M_PL_060_02; M_PL_060_03; M_PL_060_13; M_PL_060_14; M_PL_060_15"
