"species","networks"
"Cecropia pachystachya","Aguiar_2007; Brito_2010; Carvalho_2008; Faria_1996; Genrich_2017; Gomes_2013; M_SD_012; Machado_de_Souza_2019; Marcos_da_Silva_2013; Munin_2012; Munster_2008; Passos_2003; Pedro_1992; Robinson_2015; Sanchez_2012_Iguazu; SARM_whole_network_from_paper; Silva_Oliveira_2018; Silveira_2006; Souza_Laurindo_2017; Tavares_2007"
"Cecropia palmata","Dos_Reis_1983_Cult_et_form_sec"
"Cecropia peltata","Castro_Luna_2012; Fleming_1977; Garcia_Estrada_2012; M_SD_010_single_partners_added; Santiago_2014_close_to_remnant; Santiago_2014_far_from_remnant; Zapata_Mesa_2017_MR_September"
"Cecropia polystachya","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_4; Novoa_2011"
"Cecropia schreberiana","M_SD_003; M_SD_004; M_SD_005; M_SD_006"
"Cecropia sciadophylla","Gorchov_1995"
"Cecropia strigosa","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_4"
"Cecropia telealba","Aguilar_Garavito_2014_mature; Castano_2018; Kessler_Rios_2012"
"Ceiba pentandra","Arias_Arone_2016"
"Celastrus orbiculatus","M_SD_001"
"Celtis australis","Cruz_2013_Autumn; Cruz_2013_Winter"
"Celtis toka","Hovestadt_1997"
"Celtis zenkeri","Hovestadt_1997"
"Centaurium erythraea","M_SD_031"
"Cerastium fontanum subsp  vulgare","Jaroszewicz_2013"
"Cerasus jamasakura var  jamasakura","Koike_2008; Noma_1997"
"Ceroxylon pityrophyllum","SAAV2"
"Cestrum bracteatum","Dehling_2017_San_Pedro_4"
"Cestrum parqui","Dehling_2017_San_Pedro_4"
"Cestrum racemosum","Blake_1992"
"Cestrum strigillatum","Blendinger_2015"
"Chamissoa altissima","Blendinger_2015; M_SD_009; M_SD_012"
"Chelidonium majus","Jaroszewicz_2013"
"Chenopodium album","Jaroszewicz_2013"
"Chiococca alba","Genrich_2017; M_SD_010_single_partners_added; Nogales_2017; Ramos_Robles_2016_net2; Ramos_Robles_2016_net7"
"Chironia baccifera","Castley_2001"
"Chisocheton cumingianus","Sethi_2012"
"Chlorophora tinctoria","M_SD_012"
"Choerospondias axillaris","Suzuki_2007"
"Chrysanthemoides monilifera","Castley_2001"
"Chrysophyllum argenteum","M_SD_005"
"Chrysophyllum flexuosum","Castro_2015"
"Chrysophyllum gonocarpum","Sanchez_2012_Iguazu"
"Chrysophyllum oliviforme","Mancina_2007_dry"
"Chrysophyllum viridifolium","Engel_2000"
"Chrysosplenium alternifolium","Jaroszewicz_2013"
"Cinnamodendron dinisii","Castro_2015"
"Cinnamomum bejolghota","Sethi_2012"
"Cinnamomum porphyrium","Blendinger_2015"
"Cinnamomum subavenium","Suzuki_2007"
"Cipocereus minensis","Lessa_2013"
"Circaea intermedia","Jaroszewicz_2013"
"Circaea lutetiana","Jaroszewicz_2013"
"Cirsium arvense","Jaroszewicz_2013"
"Cissus aristata","M_SD_002; Pratt_1985"
"Cissus fuliginea","Blake_1992"
"Cissus hypoglauca","M_SD_002; Pratt_1985"
"Cissus oliveri","M_SD_034"
"Cissus striata","Blendinger_2015"
"Citharexylum caudatum","Wolfe_2014"
"Citharexylum mirianthum","M_SD_012"
"Citrus limon","Suzuki_2007"
"Citrus maxima","Engel_2000"
"Citrus sinensis","Engel_2000; M_SD_004; M_SD_006"
"Clarisia biflora","Lopez_and_Vaughn_2004"
"Clausena harmandiana","Suzuki_2007"
"Clerodendrum capitatum","M_SD_034"
"Clerodendrum infortunatum","Kamruzzaman_2008"
"Clerodendrum villosum","Nogales_2017"
"Clethra arborea","M_SD_031"
"Cleyera japonica","Noma_1997"
"Clibadium asperum","Blake_1992"
"Clibadium eggersii","Palmeirim_1989"
"Clidemia crenulata","Blake_1992"
"Clidemia debilis","SARM_whole_network_from_paper"
"Clidemia densiflora","Blake_1992"
"Clidemia dentata","Blake_1992"
"Clidemia discolor","Blake_1992"
"Clidemia epiphytica","Blake_1992; Gorchov_1995"
"Clidemia hirta","Andrade_2011; Gorchov_1995; SARM_whole_network_from_paper"
"Clidemia japurensis","Gorchov_1995"
"Clidemia urceolata","Lessa_2010; Lessa_2013"
"Clinopodium vulgare","Jaroszewicz_2013"
"Clusia alata","Dehling_2017_Wayqecha_2"
"Clusia criuva","Castro_2015"
"Clusia flavida","Gorchov_1995"
"Clusia gundlachi","M_SD_005"
"Clusia hilariana","de_Oliveira_1999"
"Clusia lechleri","SAAV1; SAAV2"
"Clusia palmana","Blake_1992"
"Clusia rosea","M_SD_003; M_SD_004; M_SD_005"
"Clusia sphaerocarpa","SAAV1; SAAV2"
"Clusia trochiformis","SAAV1; SAAV2"
"Coccocypselum aureum","Genrich_2017"
"Coccoloba barbadensis","Ramos_Robles_2016_net3; Ramos_Robles_2016_net6"
"Coffea arabica","M_SD_004; M_SD_006"
"Coffea eugenioides","M_SD_034"
"Coffea sessiliflora","Engel_2000"
"Colpoon compressum","Castley_2001"
"Combretum schumannii","Engel_2000"
"Comocladia glabra","M_SD_005"
"Condaminea corymbosa","Arias_Arone_2016"
"Connarus longistipitatus","Engel_2000"
"Conostegia bracteata","Blake_1992"
"Conostegia subcrustulata","Blake_1992; Palmeirim_1989"
"Conostegia xalapensis","Castro_Luna_2012; Lou_2007; Mancina_2007_dry; Wolfe_2014"
"Conyza bonariensis","M_SD_031"
"Copaifera langsdorffii","M_SD_012; Malacco_da_Silva_2014; Pedro_1992"
"Copaifera trapezifolia","Machado_de_Souza_2019"
"Coprosma foetidissima","Odonnell_1994"
"Coprosma grandifolia","Burns_2013; Garcia_2014_Blue_Duck; Garcia_2014_Charles_Plimmer; Garcia_2014_George_Denton; Garcia_2014_Mount_Fyfee_Reserve; Garcia_2014_Puhi_Puhi_River; Garcia_2014_Zealandia; MacFarlane_2016; Williams_1996_Eves; Williams_1996_Marsden; Wyman_2017"
"Coprosma lucida","Odonnell_1994"
"Coprosma propinqua","MacFarlane_2016; Wyman_2017"
