species,networks,Taxonomy,Notes
Cheilosia sp10 M_PL_056,M_PL_056,Genus,
Cheilosia sp10 M_PL_057,M_PL_057,Genus,
Cheilosia sp11 M_PL_056,M_PL_056,Genus,
Cheilosia sp11 M_PL_057,M_PL_057,Genus,
Cheilosia sp12 M_PL_056,M_PL_056,Genus,
Cheilosia sp12 M_PL_057,M_PL_057,Genus,
Cheilosia sp13 M_PL_056,M_PL_056,Genus,
Cheilosia sp14 M_PL_056,M_PL_056,Genus,
Cheilosia sp15 M_PL_056,M_PL_056,Genus,
Cheilosia sp16 M_PL_056,M_PL_056,Genus,
Cheilosia sp17 M_PL_056,M_PL_056,Genus,
Cheilosia sp18 M_PL_056,M_PL_056,Genus,
Cheilosia sp2 M_PL_044,M_PL_044,Genus,
Cheilosia sp2 M_PL_056,M_PL_056,Genus,
Cheilosia sp2 M_PL_057,M_PL_057,Genus,
Cheilosia sp3 M_PL_056,M_PL_056,Genus,
Cheilosia sp3 M_PL_057,M_PL_057,Genus,
Cheilosia sp4 M_PL_056,M_PL_056,Genus,
Cheilosia sp4 M_PL_057,M_PL_057,Genus,
Cheilosia sp5 M_PL_056,M_PL_056,Genus,
Cheilosia sp5 M_PL_057,M_PL_057,Genus,
Cheilosia sp6 M_PL_056,M_PL_056,Genus,
Cheilosia sp6 M_PL_057,M_PL_057,Genus,
Cheilosia sp7 M_PL_056,M_PL_056,Genus,
Cheilosia sp7 M_PL_057,M_PL_057,Genus,
Cheilosia sp8 M_PL_056,M_PL_056,Genus,
Cheilosia sp8 M_PL_057,M_PL_057,Genus,
Cheilosia sp9 M_PL_056,M_PL_056,Genus,
Cheilosia sp9 M_PL_057,M_PL_057,Genus,
Cheloninae sp1 M_PL_062,M_PL_060_03,Subfamily,
Cheloninae sp1 M_PL_068,M_PL_060_09,Subfamily,
Cheloninae sp1 M_PL_073,M_PL_060_14,Subfamily,
Cheloninae sp1 M_PL_081,M_PL_060_22,Subfamily,
Chelonus sp1 M_PL_055,M_PL_055,Genus,
Chilicola sp1 M_PL_051,M_PL_051,Genus,
Chilicola sp2 M_PL_051,M_PL_051,Genus,
