"species","networks"
"Certhidea fusca","Nogales_2017"
"Certhidea olivacea","Nogales_2017"
"Cervus elaphus","Jaroszewicz_2013; Peredo_2013_Pto_de_San_Lorenzo"
"Cettia cetti","Costa_2013_endozoochory"
"Chalcomitra amethystina","M_SD_034"
"Chalcomitra senegalensis","Daru_2015; M_SD_034"
"Chalcophaps indica","Jayasekara_2007"
"Chelonoidis chathamensis","Nogales_2017"
"Chiroderma doriae","Faria_1996; Hayashi_1996; Pedro_1992; Souza_Laurindo_2017; Tavares_2007"
"Chiroderma salvini","Arias_Arone_2016"
"Chiroderma villosum","Lima_2016; Lopez_and_Vaughn_2004; Lou_2005"
"Chiroxiphia boliviana","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_4; SAAV1; SAAV2"
"Chiroxiphia caudata","Fadini_2004; M_SD_009; M_SD_012; Machado_de_Souza_2019"
"Chiroxiphia pareola","SARM_whole_network_from_paper"
"Chloris chloris","Odonnell_1994"
"Chlorocebus pygerythrus","Castley_2001"
"Chlorocebus sabaeus","Hovestadt_1997"
"Chlorochrysa calliparaea","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Chlorochrysa nitidissima","Kessler_Rios_2012"
"Chlorocichla flavicollis","M_SD_034"
"Chlorocichla flaviventris","M_SD_008"
"Chlorocichla laetissima","M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Chlorophanes spiza","M_SD_010_single_partners_added; Machado_de_Souza_2019; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Chlorophonia cyanea","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4; Kessler_Rios_2012; Machado_de_Souza_2019; SAAV1"
"Chloropsis aurifrons","Sethi_2012; VELHO"
"Chlorornis riefferii","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Chlorospingus canigularis","Kessler_Rios_2012; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Chlorospingus flavigularis","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural; Zamora_Delgado_2008"
"Chlorospingus flavopectus","Blendinger_2015; Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4; SAAV1; SAAV2"
"Chlorospingus parvirostris","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_4; Zamora_Delgado_2008"
"Choeroniscus godmani","Preciado_Benitez_2015"
"Chrysocolaptes guttacristatus","Sethi_2012"
"Cinnyricinclus leucogaster","Daru_2015; Hovestadt_1997; M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Cinnyris venustus","Daru_2015"
"Civettictis civetta","Engel_2000"
"Cleptornis marchei","Fricke_2018_Saipan"
"Cnemotriccus fuscatus","Machado_de_Souza_2019"
"Coccothraustes coccothraustes","Albrecht_102_2012; Albrecht_111_2012; Albrecht_112_2011; Albrecht_13_2012; Albrecht_15_2012; Albrecht_203_2012; Albrecht_30_2012; Albrecht_301_2012; Albrecht_315_2012; Albrecht_36_2012; M_SD_020"
"Cochoa viridis","VELHO"
"Coereba flaveola","Andrade_2011; Athie_2009; de_Oliveira_1999; M_SD_003; M_SD_004; M_SD_005; M_SD_006; M_SD_010_single_partners_added; M_SD_012; Machado_de_Souza_2019; Marcos_da_Silva_2013; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural; Robinson_2015"
"Colaptes auratus","M_SD_001; Malmborg_1988_1980; Malmborg_1988_1981; Malmborg_1988_1982"
"Colaptes melanochloros","Marcos_da_Silva_2013"
"Colaptes rubiginosus","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2"
"Colius striatus","Daru_2015; Engel_2000; M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_interior_highly_dist"
"Colobus angolensis","Engel_2000"
"Colobus guereza","M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_little_dist"
"Colobus polykomos","Hovestadt_1997"
"Columba janthina","Noma_1997"
"Columba larvata","M_SD_034"
"Columba palumbus","Albrecht_203_2012; M_SD_020; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_MAM; Snow_1988_SON; Sorensen_1981"
"Columba pulchricollis","Chen_1999"
"Columba squamosa","M_SD_003; M_SD_004; M_SD_005; M_SD_006"
"Columbina talpacoti","Robinson_2015"
"Conirostrum speciosum","Athie_2009; M_SD_012"
"Coracina pectoralis","Hovestadt_1997"
"Corvus corax","M_SD_020"
"Corvus corone","M_SD_020; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_SON"
"Corvus culminatus","David_2011_tree_focal_watches"
"Corvus levaillantii","Kamruzzaman_2008"
"Corvus macrorhynchos","Palita_2011"
"Corvus splendens","Kamruzzaman_2008"
"Coryphospingus cucullatus","Malacco_da_Silva_2014"
"Coryphospingus pileatus","de_Oliveira_1999"
"Corythaeola cristata","Menke_2012_interior_highly_dist"
"Cossypha heuglini","M_SD_034"
"Cossypha niveicapilla","Hovestadt_1997; M_SD_034"
"Cossypha polioptera","M_SD_034"
"Creurgops verticalis","Zamora_Delgado_2008"
"Cricetomys gambianus","Engel_2000"
"Crinifer piscator","Daru_2015; Hovestadt_1997"
"Criniger barbatus","Hovestadt_1997"
"Crithagra citrinelloides","Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist"
"Crithagra mozambica","Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist"
"Crotophaga ani","Nogales_2017"
"Crotophaga major","de_Oliveira_1999"
"Cuculus clamosus","M_SD_034"
"Cuculus varius","Palita_2011"
"Cyanerpes caeruleus","Dehling_2017_San_Pedro_4; M_SD_010_single_partners_added"
"Cyanerpes cyaneus","Andrade_2011; de_Oliveira_1999; M_SD_010_single_partners_added"
"Cyanistes caeruleus","Costa_2013_endozoochory; Fuentes_1994; Garcia_2016; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_SON; Sorensen_1981"
"Cyanocorax caeruleus","Machado_de_Souza_2019"
"Cyanocorax chrysops","Blendinger_2015"
"Cyanocorax cristatellus","M_SD_012"
"Cyanocorax cyanomelas","SAAV1"
"Cyanocorax yncas","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Kessler_Rios_2012; Quitian_2018_2000Fragmented; Quitian_2018_2000Natural; SAAV1"
"Cyanomitra olivacea","M_SD_034"
"Cyanomitra verticalis","M_SD_034"
"Cyanopica cooki","Costa_2013_endozoochory"
"Cyanoramphus auriceps","Odonnell_1994"
"Cyanoramphus novaezelandiae","Garcia_2014_Zealandia"
"Cyclarhis gujanensis","Andrade_2011; Athie_2009; Faustino_2006; M_SD_009; M_SD_012; Malacco_da_Silva_2014; Robinson_2015"
"Cynopterus sphinx","Jayasekara_2007"
"Dacnis cayana","Andrade_2011; Athie_2009; de_Oliveira_1999; Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Fadini_2004; M_SD_009; M_SD_010_single_partners_added; M_SD_012; Machado_de_Souza_2019; Marcos_da_Silva_2013; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural; Robinson_2015"
"Dacnis lineata","Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Dendrocitta formosae","Chen_1999; Palita_2011"
"Dendrocitta vagabunda","Kamruzzaman_2008; Palita_2011"
"Dendrocopos major","Albrecht_11_2012; Albrecht_111_2012; Albrecht_30_2012; Albrecht_301_2012; Albrecht_315_2011; Albrecht_35_2012; Albrecht_36_2012; M_SD_020"
"Dendrocopos medius","Albrecht_111_2011; Albrecht_112_2011"
"Dendroica caerulescens","M_SD_004"
"Dendroica coronata","M_SD_001"
"Dendroica tigrina","M_SD_004"
"Dendropicos fuscescens","Daru_2015; Menke_2012_edge_highly_dist"
"Dendropicos goertae","Daru_2015"
"Dicrurus adsimilis","Hovestadt_1997; M_SD_034; Menke_2012_interior_highly_dist"
"Didelphis albiventris","Lessa_2013"
"Didelphis aurita","Genrich_2017"
"Diglossa albilatera","Quitian_2018_2000Fragmented; Quitian_2018_2000Natural"
"Diglossa brunneiventris","Dehling_2017_Wayqecha_1"
"Diglossa caerulescens","Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3"
