Species,Networks
aulacorhynchus coeruleicinctis,SAAV1_column_names.csv; SAAV2_column_names.csv
aulacorhynchus derbianus,Dehling_2017_San_Pedro_2_column_names.csv
aves engel2000 unidsp mult,Engel_2000_column_names.csv
aves pratt1985 unidsp mult,Pratt_1985_column_names.csv
baeolophus bicolor,Labbe_2011_column_names.csv
baeopogon indicator,Hovestadt_1997_column_names.csv; M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv
baillonius bailloni,Fadini_2004_column_names.csv
bandicota indica,Jayasekara_2007_column_names.csv
basileuterus culicivorus,Fadini_2004_column_names.csv
bathmocercus rufus,M_SD_034_column_names.csv
batis senegalensis,Daru_2015_column_names.csv
bison bonasus,Jaroszewicz_2013_column_names.csv
bleda syndactylus,M_SD_034_column_names.csv
bombycilla cedrorum,Labbe_2011_column_names.csv; M_SD_001_column_names.csv
bostrychia hagedash,Hovestadt_1997_column_names.csv
brachyphylla nana,Mancina_2007_dry_column_names.csv
brotogeris chiriri,Marcos_da_Silva_2013_column_names.csv
brycon amazonicus,Correa_2016_Apaporis_column_names.csv; Correa_2016_Caqueta_column_names.csv
brycon falcatus,Correa_2016_Apaporis_column_names.csv; Correa_2016_Caqueta_column_names.csv
brycon melanopterus,Correa_2016_Apaporis_column_names.csv; Correa_2016_Caqueta_column_names.csv
buccanodon duchaillui,M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
buccanodon leucotis,M_SD_008_column_names.csv
buceros bicornis,Sethi_2012_column_names.csv; VELHO_column_names.csv
buthraupis montana,Dehling_2017_Wayqecha_1_column_names.csv; Dehling_2017_Wayqecha_2_column_names.csv; Dehling_2017_Wayqecha_3_column_names.csv; Dehling_2017_Wayqecha_4_column_names.csv
bycanistes brevis,Engel_2000_column_names.csv
bycanistes buccinator,M_SD_008_column_names.csv
bycanistes cylindricus,Hovestadt_1997_column_names.csv
bycanistes fistulator,Hovestadt_1997_column_names.csv
bycanistes subcylindricus,Hovestadt_1997_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
cacicus chrysonotus,Dehling_2017_Wayqecha_2_column_names.csv; Dehling_2017_Wayqecha_3_column_names.csv; Dehling_2017_Wayqecha_4_column_names.csv
cacicus haemorrhous,de_Oliveira_1999_column_names.csv; Machado_de_Souza_2019_column_names.csv
cacicus uropygialis,Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv
callosciurus erythraeus,Sethi_2012_column_names.csv
callosciurus finlaysonii,Suzuki_2007_column_names.csv
callosciurus pygerythrus,Sethi_2012_column_names.csv
caluromys philander,Lessa_2010_column_names.csv; Lessa_2013_column_names.csv
camarhynchus pallidus,Nogales_2017_column_names.csv
camarhynchus parvulus,Nogales_2017_column_names.csv
camaroptera brachyura,Daru_2015_column_names.csv
campephaga flava,M_SD_034_column_names.csv
campephaga phoenicea,Menke_2012_edge_highly_dist_column_names.csv
camptostoma obsoletum,Athie_2009_column_names.csv; de_Oliveira_1999_column_names.csv; Robinson_2015_column_names.csv
canis mesomelas,Castley_2001_column_names.csv
capreolus capreolus,Jaroszewicz_2013_column_names.csv; Peredo_2013_Pto_de_San_Lorenzo_column_names.csv; Peredo_2013_Puertos_de_Marabio_column_names.csv
cardellina canadensis,Kessler_Rios_2012_column_names.csv; Wolfe_2014_column_names.csv
cardinalis cardinalis,Chimera_2010_column_names.csv; Labbe_2011_column_names.csv; M_SD_001_column_names.csv
carduelis carduelis,M_SD_031_column_names.csv
carollia brevicauda,Aguilar_Garavito_2014_mature_column_names.csv; Arias_Arone_2016_column_names.csv; Castano_2018_column_names.csv; Gorchov_1995_column_names.csv; Novoa_2011_column_names.csv; Zamora_Delgado_2008_column_names.csv; Zapata_Mesa_2017_MR_September_column_names.csv
carollia castanea,Gorchov_1995_column_names.csv; Lopez_and_Vaughn_2004_column_names.csv; Palmeirim_1989_column_names.csv
carollia lou2005 unidsp 886,Lou_2005_column_names.csv
carollia perspicillata,Aguiar_2007_column_names.csv; Arias_Arone_2016_column_names.csv; Brito_2010_column_names.csv; Carvalho_2008_column_names.csv; Castano_2018_column_names.csv; Castro_Luna_2012_column_names.csv; Dos_Reis_1983_Cult_et_form_sec_column_names.csv; Faria_1996_column_names.csv; Fleming_1977_column_names.csv; Garcia_et_al_2000_column_names.csv; Gomes_2013_column_names.csv; Gorchov_1995_column_names.csv; Hayashi_1996_column_names.csv; Lima_2016_column_names.csv; Lopez_and_Vaughn_2004_column_names.csv; Lou_2005_column_names.csv; Lou_2007_column_names.csv; Mello_2014_Mata_de_Grota_column_names.csv; Munin_2012_column_names.csv; Munster_2008_column_names.csv; Novoa_2011_column_names.csv; Palmeirim_1989_column_names.csv; Passos_2003_column_names.csv; Pedro_1992_column_names.csv; Sanchez_2012_Iguazu_column_names.csv; Santiago_2014_close_to_remnant_column_names.csv; Santiago_2014_far_from_remnant_column_names.csv; SARM_whole_network_from_paper_column_names.csv; Silva_Oliveira_2018_column_names.csv; Silveira_2006_column_names.csv; Souza_Laurindo_2017_column_names.csv; Tavares_2007_column_names.csv; Zapata_Mesa_2017_MR_September_column_names.csv
carollia sowelli,Castro_Luna_2012_column_names.csv; Garcia_Morales_2012_column_names.csv; Hernandez_Montero_2015_B4_Dry_column_names.csv; Hernandez_Montero_2015_B4_Norte_column_names.csv; Lopez_and_Vaughn_2004_column_names.csv; Lou_2005_column_names.csv; Lou_2007_column_names.csv; Palmeirim_1989_column_names.csv; Preciado_Benitez_2015_column_names.csv; Santiago_2014_close_to_remnant_column_names.csv; Santiago_2014_far_from_remnant_column_names.csv
carollia subrufa,Preciado_Benitez_2015_column_names.csv
carpodacus purpureus,M_SD_001_column_names.csv
carpornis cucullata,Machado_de_Souza_2019_column_names.csv
carpornis melanocephala,Castro_2015_column_names.csv; Machado_de_Souza_2019_column_names.csv
catharus fuscescens,Blake_1992_column_names.csv; M_SD_033_column_names.csv; Malmborg_1988_1981_column_names.csv; Wolfe_2014_column_names.csv
catharus guttatus,M_SD_001_column_names.csv; Malmborg_1988_1980_column_names.csv; Malmborg_1988_1981_column_names.csv; Malmborg_1988_1982_column_names.csv
catharus minimus,Blake_1992_column_names.csv; M_SD_033_column_names.csv; Malmborg_1988_1980_column_names.csv; Malmborg_1988_1981_column_names.csv; Malmborg_1988_1982_column_names.csv; Wolfe_2014_column_names.csv
catharus ustulatus,Blake_1992_column_names.csv; Blendinger_2015_column_names.csv; Dehling_2017_San_Pedro_1_column_names.csv; Gorchov_1995_column_names.csv; Kessler_Rios_2012_column_names.csv; M_SD_033_column_names.csv; Malmborg_1988_1980_column_names.csv; Malmborg_1988_1981_column_names.csv; Malmborg_1988_1982_column_names.csv; Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv; Quitian_2018_2000Fragmented_column_names.csv; Quitian_2018_2000Natural_column_names.csv; SAAV1_column_names.csv; Zamora_Delgado_2008_column_names.csv
celeus flavescens,de_Oliveira_1999_column_names.csv; Fadini_2004_column_names.csv; Machado_de_Souza_2019_column_names.csv
centropus monachus,M_SD_034_column_names.csv
centropus senegalensis,Daru_2015_column_names.csv
cephalophus niger,Hovestadt_1997_column_names.csv
cephalophus rufilatus,Hovestadt_1997_column_names.csv
cephalopterus ornatus,Dehling_2017_San_Pedro_1_column_names.csv
ceratogymna subcylindrica,M_SD_034_column_names.csv
cercocebus atys,Hovestadt_1997_column_names.csv
cercopithecus ascanius,M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
cercopithecus lowei,Hovestadt_1997_column_names.csv
cercopithecus mitis,Engel_2000_column_names.csv; M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
cercopithecus petaurista,Hovestadt_1997_column_names.csv
cerradomys scotti,Genrich_2017_column_names.csv
cerradomys subflavus,Genrich_2017_column_names.csv
certhidea fusca,Nogales_2017_column_names.csv
certhidea olivacea,Nogales_2017_column_names.csv
