"species","networks"
"Apis mellifera","M_PL_007; M_PL_013; M_PL_017; M_PL_019; M_PL_025; M_PL_033; M_PL_044; M_PL_054; M_PL_055; M_PL_056; M_PL_058; M_PL_059; M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_09; M_PL_060_10; M_PL_060_11; M_PL_060_12; M_PL_060_13; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_19; M_PL_060_20; M_PL_060_21; M_PL_060_22; M_PL_060_23; M_PL_060_24; M_PL_061_01; M_PL_061_02; M_PL_061_03; M_PL_061_04; M_PL_061_05; M_PL_061_06; M_PL_061_07; M_PL_061_08; M_PL_061_09; M_PL_061_10; M_PL_061_11; M_PL_061_12; M_PL_061_13; M_PL_061_14; M_PL_061_15; M_PL_061_16; M_PL_061_17; M_PL_061_18; M_PL_061_19; M_PL_061_20; M_PL_061_21; M_PL_061_22; M_PL_061_23; M_PL_061_24; M_PL_061_25; M_PL_061_26; M_PL_061_27; M_PL_061_28; M_PL_061_29; M_PL_061_30; M_PL_061_31; M_PL_061_32; M_PL_061_35; M_PL_061_36; M_PL_061_37; M_PL_061_38; M_PL_061_39; M_PL_061_40; M_PL_061_43; M_PL_061_44; M_PL_061_45; M_PL_061_46; M_PL_061_47; M_PL_061_48; M_PL_073"
"Apoderus rubidus","M_PL_057"
"Arasehmia burejana","M_PL_057"
"Archilochus colubris","M_PL_065; M_PL_070; M_PL_074_14"
"Arge nipponensis","M_PL_055"
"Arge similis","M_PL_054; M_PL_057"
"Argynnis paphia","M_PL_055; M_PL_056"
"Arthromacra amamiana","M_PL_044"
"Asarkina ericetorum","M_PL_044"
"Asarkina porcina","M_PL_044; M_PL_057"
"Asclera nigrocya","M_PL_054; M_PL_057"
"Asemum amurense","M_PL_056"
"Asiemphytus deutziae","M_PL_057"
"Aspilocoryphus fasciativentris","M_PL_013"
"Astochia virgatipes","M_PL_057"
"Athalia japonica","M_PL_044; M_PL_054; M_PL_057"
"Athemus lineatipennis","M_PL_055"
"Atherigona orientalis","M_PL_060_17"
"Atlobaccha nubilipennis","M_PL_044"
"Atrichelaphinis tigrina","M_PL_013"
"Attalus chujoanus","M_PL_044"
"Attalus ryukyuanus","M_PL_044"
"Atthis ellioti","M_PL_074_14; M_PL_074_15"
"Atylotus sawadaisp","M_PL_044"
"Augastes scutatus","M_PL_074_09; M_PL_074_17"
"Augochlora pura","M_PL_025; M_PL_073"
"Augochlorella aurata","M_PL_073"
"Augochloropsis metallica","M_PL_073"
"Augochorella striata","M_PL_025"
"Aulacophora femoralis","M_PL_044"
"Aulacophora nigripennis","M_PL_044; M_PL_054"
"Baccha apicalis","M_PL_057"
"Baccha maculata","M_PL_057"
"Bactrocera cucurbitae","M_PL_060_07"
"Balatala gracilis","M_PL_056"
"Baris kiboshi","M_PL_044"
"Basilepta ruficolle","M_PL_057"
"Bertsa lankana","M_PL_044"
"Betasyrphus seraius","M_PL_057"
"Bilia japonica","M_PL_044"
"Biphyllis throscoides","M_PL_056"
"Blera badia","M_PL_004"
"Blera confusa","M_PL_004"
"Blera nigripes","M_PL_004"
"Blitopertha conspurcata","M_PL_054"
"Blitopertha orientalis","M_PL_054; M_PL_057"
"Bocchoris inspersalis","M_PL_044"
"Boissonneaua flavescens","M_PL_074_01; M_PL_074_02; M_PL_074_16"
"Boissonneaua jardini","M_PL_074_01"
"Boloria improba","M_PL_024"
"Bombus ardens","M_PL_054; M_PL_056; M_PL_057"
"Bombus auricomus","M_PL_073"
"Bombus beaticola","M_PL_056"
"Bombus bimaculatus","M_PL_025; M_PL_073"
"Bombus consobrinus","M_PL_056"
"Bombus dahlbomii","M_PL_051"
"Bombus diversus","M_PL_054; M_PL_055; M_PL_056; M_PL_057"
"Bombus griseocollis","M_PL_073"
"Bombus honshuensis","M_PL_056; M_PL_057"
"Bombus hortorum","M_PL_006; M_PL_007"
"Bombus hypocrita","M_PL_054; M_PL_055; M_PL_056; M_PL_057"
"Bombus ignitus","M_PL_054; M_PL_057"
"Bombus impatiens","M_PL_073"
"Bombus lapidarius","M_PL_006; M_PL_007; M_PL_017"
"Bombus muscorum","M_PL_017"
"Bombus pascuorum","M_PL_006; M_PL_007; M_PL_017"
"Bombus pennsylvanicus","M_PL_025"
"Bombus perplexus","M_PL_004; M_PL_073"
"Bombus pratorum","M_PL_006; M_PL_007"
"Bombus ruderatus","M_PL_051"
"Bombus ternarius","M_PL_004"
"Bombus terrestris","M_PL_006; M_PL_007; M_PL_017; M_PL_058"
"Bombus terricola","M_PL_004; M_PL_033"
"Bombus vagans","M_PL_004"
"Bombylius major","M_PL_004; M_PL_025; M_PL_044; M_PL_054; M_PL_056; M_PL_057"
"Bombylius pigmaeus","M_PL_004"
"Borboresthes sauteri oshimana","M_PL_044"
"Boreellus atriceps","M_PL_024"
"Bornbus beaticola","M_PL_056"
"Bornbus consobrinus","M_PL_056"
"Bothrogonia japonica","M_PL_057"
"Brachyloma curtum","M_PL_057"
"Brachymeria fiskei","M_PL_054"
"Brachyopa bicolor","M_PL_057"
"Bruchidius dorsalis","M_PL_054"
"Bruchidius urbanus","M_PL_054; M_PL_057"
"Byasa alcinous loochooana","M_PL_044"
"Byctiscus puberulus","M_PL_057"
"Byturus affinis","M_PL_056; M_PL_057"
"Byturus atricollis","M_PL_056"
"Byturus ohtai","M_PL_056"
"Caecilius oyamai","M_PL_044"
"Callimerus ryukyuensis","M_PL_044"
"Calliphlox amethystina","M_PL_064; M_PL_067; M_PL_074_09; M_PL_074_11; M_PL_074_18"
"Calliphlox mitchellii","M_PL_074_01"
"Calliphora fulvicoxa","M_PL_019"
"Calliphora hilli","M_PL_019"
"Calliphora lata","M_PL_044"
"Calliphora stygia","M_PL_019"
"Callophrys rubi","M_PL_058"
"Callosobruchus chinensis","M_PL_054"
"Calocoris bipunctatus","M_PL_007"
"Calopsilia florella","M_PL_060_17"
"Camponotus aethiops","M_PL_058"
"Camponotus japonicus","M_PL_054"
"Camponotus kiusiuensis","M_PL_057"
"Camponotus nipponensis","M_PL_057"
"Camponotus obscripes","M_PL_057"
"Campsomeris annulata","M_PL_054"
"Campsomeris grossa","M_PL_054; M_PL_055"
"Campsomeris primatica","M_PL_054; M_PL_057"
"Campsomeris testaceipes","M_PL_044; M_PL_054"
"Camptomastix hisbonalis","M_PL_044"
"Campylomma lividicornis","M_PL_044"
"Campylopterus hemileucurus","M_PL_074_14; M_PL_074_15"
"Campylopterus largipennis","M_PL_074_06; M_PL_074_09; M_PL_074_17"
"Campylopterus rufus","M_PL_074_14; M_PL_074_15"
"Carbula humerigera","M_PL_057"
"Carinosolia melanosoma fascinata","M_PL_044"
"Carpelimus siamensis","M_PL_044"
"Carpelius exigussp","M_PL_044"
"Carpophilus chalybeus","M_PL_054; M_PL_057"
"Carpophilus tenuis","M_PL_044"
"Carposcalis confusus","M_PL_004"
"Carposcalis obscura","M_PL_004"
"Cassida circumdata","M_PL_044"
"Cassida rubiginosaidalis","M_PL_057"
"Cateres pennatus","M_PL_004"
"Catopsitia pomona","M_PL_044"
"Catoptria permiaca","M_PL_056"
"Celastrina argiolus","M_PL_004; M_PL_044"
"Centris aenea","M_PL_059"
"Centris caxiensis","M_PL_059"
"Centris flavifrons","M_PL_059"
"Centris fuscata","M_PL_059"
"Centris obsoleta","M_PL_059"
"Centris tarsata","M_PL_059"
"Centris trigonoides","M_PL_059"
"Cephenius nitobei","M_PL_057"
"Cephonodes trochilus","M_PL_060_04; M_PL_060_06; M_PL_060_08; M_PL_060_09"
"Cephus pygmaeus","M_PL_007"
"Ceratina calcarata","M_PL_025; M_PL_073"
"Ceratina cucurbitina","M_PL_058"
"Ceratina esakii","M_PL_055; M_PL_057"
"Ceratina flavipes","M_PL_054; M_PL_055; M_PL_057"
"Ceratina iwatai","M_PL_054; M_PL_057"
"Ceratina japonica","M_PL_054; M_PL_055; M_PL_057"
"Ceratina megastigmata","M_PL_057"
"Ceratina okinawana","M_PL_044"
"Ceratina satoi","M_PL_044"
"Ceratina strenua","M_PL_073"
"Ceratina tabescens","M_PL_061_06; M_PL_061_07; M_PL_061_08; M_PL_061_16; M_PL_061_23; M_PL_061_30; M_PL_061_31; M_PL_061_32; M_PL_061_47"
"Ceratitis roas","M_PL_060_01; M_PL_060_07; M_PL_060_13"
"Cerceris albofasciata","M_PL_054"
"Cerceris carinalis","M_PL_057"
"Cerceris hortivaga","M_PL_057"
"Cerceris japonica","M_PL_054"
"Cerceris yuwanensis","M_PL_044"
"Cerogia notabilis","M_PL_044"
"Cersium fuscum","M_PL_044"
"Chaetocercus mulsant","M_PL_074_03"
"Chaetocnema bicolorata","M_PL_055"
"Chaetophthalamus dorsalis","M_PL_019"
"Chalcidoma disjunctum","M_PL_061_02; M_PL_061_04; M_PL_061_06; M_PL_061_08; M_PL_061_25; M_PL_061_27; M_PL_061_29; M_PL_061_40; M_PL_061_43; M_PL_061_45; M_PL_061_46"
"Chalcostigma herrani","M_PL_068"
"Chalcosyrphus annulipes","M_PL_044"
"Chalcosyrphus curvarius","M_PL_004"
"Chalcosyrphus inarmatus","M_PL_004"
"Chalcosyrphus memorum","M_PL_004"
"Chalcosyrphus nigra","M_PL_004"
"Chalepogenus caeruleus","M_PL_051"
"Chalicodoma disjunctiformis","M_PL_044; M_PL_054"
"Chalicodoma sculpturalis","M_PL_044; M_PL_054"
"Charitovalgus laetus","M_PL_044"
"Chatanys insularis istoi","M_PL_044"
"Cheilosia albitarsis","M_PL_006"
"Cheilosia bergenstammi","M_PL_007"
"Cheilosia motodomariensis","M_PL_056"
"Cheilosia omogensis","M_PL_057"
"Cheilosia pallipes","M_PL_004"
"Cheilosia sialia","M_PL_004"
"Cheilosia slossonae","M_PL_004"
"Cheilosia tristis","M_PL_004"
"Chiagasinus vittiger rufomarginatus","M_PL_044"
"Chlamisus japonicus","M_PL_044"
"Chlorestes notata","M_PL_074_04; M_PL_074_06"
"Chloridolum leochooanum","M_PL_044"
"Chloromyia formosa","M_PL_006"
"Chlorophorus japonicus","M_PL_054"
"Chlorophorus quinquefasciatus","M_PL_044"
"Chlorostilbon aureoventris","M_PL_064"
"Chlorostilbon canivetii","M_PL_065"
"Chlorostilbon lucidus","M_PL_067; M_PL_074_09; M_PL_074_10; M_PL_074_11; M_PL_074_17"
"Chlorostilbon mellisugus","M_PL_074_06"
"Chlorostilbon olivaresi","M_PL_071"
"Choaspes benjaminii","M_PL_044; M_PL_057"
"Chrisaeglia magnifica","M_PL_044"
"Chrysarthia viatica","M_PL_056"
"Chrysodema lewisii","M_PL_044"
"Chrysogaster okazakii","M_PL_057"
"Chrysolampis mosquitus","M_PL_067; M_PL_074_04"
"Chrysomya megacephala","M_PL_044; M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_09; M_PL_060_10; M_PL_060_11; M_PL_060_12; M_PL_060_13; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_19; M_PL_060_20; M_PL_060_21; M_PL_060_22; M_PL_060_23; M_PL_060_24"
"Chrysomya pinguis","M_PL_044; M_PL_055"
"Chrysomya rufifacies","M_PL_044"
"Chrysopa furcifera","M_PL_044"
"Chrysotoxum bicinctum","M_PL_017"
"Chrysotoxum grande","M_PL_057"
"Chrysotoxum testaceum","M_PL_044"
"Chrysuronia oenone","M_PL_074_06"
